qp_x,qp_y,qp_z,tissue_id
4.34477068e-02,1.05769765e-02,4.78363829e-03,1
4.76685427e-02,1.05769765e-02,5.93832834e-03,1
5.05508706e-02,1.05769765e-02,6.72684470e-03,1
4.11084928e-02,1.05769765e-02,2.44617439e-03,1
4.39908206e-02,1.05769765e-02,3.23469052e-03,1
4.82116565e-02,1.05769765e-02,4.38938057e-03,1
5.24324924e-02,1.05769765e-02,5.54407062e-03,1
5.53148240e-02,1.05769765e-02,6.33258652e-03,1
1.76280886e-02,1.31049864e-02,4.38938057e-03,1
2.05104165e-02,1.31049864e-02,5.17789647e-03,1
2.47312523e-02,1.31049864e-02,6.33258652e-03,1
2.89520882e-02,1.31049864e-02,7.48727657e-03,1
3.18344198e-02,1.31049864e-02,8.27579293e-03,1
2.23920383e-02,1.31049864e-02,3.99512239e-03,1
2.52743680e-02,1.31049864e-02,4.78363829e-03,1
2.94952039e-02,1.31049864e-02,5.93832834e-03,1
3.37160379e-02,1.31049864e-02,7.09301839e-03,1
3.65983695e-02,1.31049864e-02,7.88153429e-03,1
2.93682907e-02,1.31049864e-02,3.41777736e-03,1
3.22506204e-02,1.31049864e-02,4.20629326e-03,1
3.64714563e-02,1.31049864e-02,5.36098331e-03,1
4.06922922e-02,1.31049864e-02,6.51567336e-03,1
4.35746200e-02,1.31049864e-02,7.30418973e-03,1
3.63445431e-02,1.31049864e-02,2.84043234e-03,1
3.92268710e-02,1.31049864e-02,3.62894847e-03,1
4.34477068e-02,1.31049864e-02,4.78363829e-03,1
4.76685427e-02,1.31049864e-02,5.93832834e-03,1
5.05508706e-02,1.31049864e-02,6.72684470e-03,1
4.11084928e-02,1.31049864e-02,2.44617439e-03,1
4.39908206e-02,1.31049864e-02,3.23469052e-03,1
4.82116565e-02,1.31049864e-02,4.38938057e-03,1
5.24324924e-02,1.31049864e-02,5.54407062e-03,1
5.53148240e-02,1.31049864e-02,6.33258652e-03,1
3.33052538e-02,6.45013584e-04,8.67816713e-03,1
3.61875817e-02,6.45013584e-04,9.46668349e-03,1
4.04084176e-02,6.45013584e-04,1.06213735e-02,1
4.46292534e-02,6.45013584e-04,1.17760636e-02,1
4.75115813e-02,6.45013584e-04,1.25645790e-02,1
3.80692035e-02,6.45013584e-04,8.28390941e-03,1
4.09515314e-02,6.45013584e-04,9.07242578e-03,1
4.51723672e-02,6.45013584e-04,1.02271149e-02,1
4.93932031e-02,6.45013584e-04,1.13818049e-02,1
5.22755347e-02,6.45013584e-04,1.21703213e-02,1
4.50454541e-02,6.45013584e-04,7.70656439e-03,1
4.79277819e-02,6.45013584e-04,8.49508028e-03,1
5.21486178e-02,6.45013584e-04,9.64977033e-03,1
5.63694537e-02,6.45013584e-04,1.08044604e-02,1
5.92517853e-02,6.45013584e-04,1.15929767e-02,1
5.20217046e-02,6.45013584e-04,7.12921936e-03,1
5.49040362e-02,6.45013584e-04,7.91773573e-03,1
5.91248721e-02,6.45013584e-04,9.07242578e-03,1
6.33457080e-02,6.45013584e-04,1.02271149e-02,1
6.62280396e-02,6.45013584e-04,1.10156313e-02,1
5.67856580e-02,6.45013584e-04,6.73496118e-03,1
5.96679859e-02,6.45013584e-04,7.52347708e-03,1
6.38888255e-02,6.45013584e-04,8.67816713e-03,1
6.81096613e-02,6.45013584e-04,9.83285718e-03,1
7.09919855e-02,6.45013584e-04,1.06213735e-02,1
3.33052538e-02,3.17302346e-03,8.67816713e-03,1
3.61875817e-02,3.17302346e-03,9.46668349e-03,1
4.04084176e-02,3.17302346e-03,1.06213735e-02,1
4.46292534e-02,3.17302346e-03,1.17760636e-02,1
4.75115813e-02,3.17302346e-03,1.25645790e-02,1
3.80692035e-02,3.17302346e-03,8.28390941e-03,1
4.09515314e-02,3.17302346e-03,9.07242578e-03,1
4.51723672e-02,3.17302346e-03,1.02271149e-02,1
4.93932031e-02,3.17302346e-03,1.13818049e-02,1
5.22755347e-02,3.17302346e-03,1.21703213e-02,1
4.50454541e-02,3.17302346e-03,7.70656439e-03,1
4.79277819e-02,3.17302346e-03,8.49508028e-03,1
5.21486178e-02,3.17302346e-03,9.64977033e-03,1
5.63694537e-02,3.17302346e-03,1.08044604e-02,1
5.92517853e-02,3.17302346e-03,1.15929767e-02,1
5.20217046e-02,3.17302346e-03,7.12921936e-03,1
5.49040362e-02,3.17302346e-03,7.91773573e-03,1
5.91248721e-02,3.17302346e-03,9.07242578e-03,1
6.33457080e-02,3.17302346e-03,1.02271149e-02,1
6.62280396e-02,3.17302346e-03,1.10156313e-02,1
5.67856580e-02,3.17302346e-03,6.73496118e-03,1
5.96679859e-02,3.17302346e-03,7.52347708e-03,1
6.38888255e-02,3.17302346e-03,8.67816713e-03,1
6.81096613e-02,3.17302346e-03,9.83285718e-03,1
7.09919855e-02,3.17302346e-03,1.06213735e-02,1
3.33052538e-02,6.87499996e-03,8.67816713e-03,1
3.61875817e-02,6.87499996e-03,9.46668349e-03,1
4.04084176e-02,6.87499996e-03,1.06213735e-02,1
4.46292534e-02,6.87499996e-03,1.17760636e-02,1
4.75115813e-02,6.87499996e-03,1.25645790e-02,1
3.80692035e-02,6.87499996e-03,8.28390941e-03,1
4.09515314e-02,6.87499996e-03,9.07242578e-03,1
4.51723672e-02,6.87499996e-03,1.02271149e-02,1
4.93932031e-02,6.87499996e-03,1.13818049e-02,1
5.22755347e-02,6.87499996e-03,1.21703213e-02,1
4.50454541e-02,6.87499996e-03,7.70656439e-03,1
4.79277819e-02,6.87499996e-03,8.49508028e-03,1
5.21486178e-02,6.87499996e-03,9.64977033e-03,1
5.63694537e-02,6.87499996e-03,1.08044604e-02,1
5.92517853e-02,6.87499996e-03,1.15929767e-02,1
5.20217046e-02,6.87499996e-03,7.12921936e-03,1
5.49040362e-02,6.87499996e-03,7.91773573e-03,1
5.91248721e-02,6.87499996e-03,9.07242578e-03,1
6.33457080e-02,6.87499996e-03,1.02271149e-02,1
6.62280396e-02,6.87499996e-03,1.10156313e-02,1
5.67856580e-02,6.87499996e-03,6.73496118e-03,1
5.96679859e-02,6.87499996e-03,7.52347708e-03,1
6.38888255e-02,6.87499996e-03,8.67816713e-03,1
6.81096613e-02,6.87499996e-03,9.83285718e-03,1
7.09919855e-02,6.87499996e-03,1.06213735e-02,1
3.33052538e-02,1.05769765e-02,8.67816713e-03,1
3.61875817e-02,1.05769765e-02,9.46668349e-03,1
4.04084176e-02,1.05769765e-02,1.06213735e-02,1
4.46292534e-02,1.05769765e-02,1.17760636e-02,1
4.75115813e-02,1.05769765e-02,1.25645790e-02,1
3.80692035e-02,1.05769765e-02,8.28390941e-03,1
